version,suite,task_id,cache_phase,success,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,first_event_ms,first_reasoning_ms,first_visible_ms,successful_attempt_ms,end_to_end_ms,retry_count,truncated,error_429,error_5xx,error_timeout,catalog_generation,catalog_digest,stable_prefix_digest,dynamic_suffix_digest,theoretical_reusable_tokens,tool_call_count,task_success,route_ok,false_no_skill_claim,explicit_skill_missed,visible_chars,visible_words,lines,paragraphs,list_items,markdown_headings,bold_spans
shared,calibration,empty,,True,92,0,0,25,23,1217.46,1217.46,1570.223,1691.006,1691.045,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,25f05ded1bd13b899e898514093d76597d8772bdb9fc73edd8065d8bdcb39fbb,,0,,,,,2,1,1,1,0,0,0
shared,calibration,base_system_developer,,True,164,0,0,14,12,1531.64,1531.64,1924.057,2115.704,2115.734,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,cdc8f2e0ce6c9449b20a7eb32c97e71ec71742a9c422b476e3487659cec65995,,0,,,,,2,1,1,1,0,0,0
shared,calibration,tool_schema,,True,11435,256,0,2,0,5226.402,,5226.402,5511.974,5511.993,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ed12a693c15914f15e05ce5d03729f882da1f0e9cf2eecbca500199c7e0ba4ea,,0,,,,,2,1,1,1,0,0,0
shared,calibration,catalogless,,True,11524,128,0,2,0,867.013,,867.013,967.318,967.339,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,6c519107eeafa06df79ee67d3f4ef29c105b2aa59604393f08fb3509fcfba2a1,2ef0aaa14e8ddb89d14afafef2093141c66555bf2ae8c69beda988573000ffb8,,0,,,,,2,1,1,1,0,0,0
baseline,calibration,catalog,,True,13295,128,0,2,0,1907.321,,1907.321,2088.332,2088.353,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,59ba2353370379463dcd623ca9a62a7d7b7d2e9c6337ee06af18f3edff65e5a2,,0,,,,,2,1,1,1,0,0,0
baseline,calibration,cacheable_prefix,,True,11507,128,0,2,0,1443.356,,1443.356,1881.895,1881.917,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,932efce5b79a7492a1ca894c802b493f6d265fb5b985d2dee8908aa10f9efe9d,,0,,,,,2,1,1,1,0,0,0
baseline,calibration,body_ordinary_base,,True,13297,128,0,32,32,758.796,758.796,,1629.579,1629.602,0,True,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,ae4aa9ab9554fdc17e4e7995b835c4f1f7f467e965c66430a3fcdd2a9d7a1b72,0a43a83b3cc8d8d44c01b337ad0e165ce7c229374a38c65a37c99886ad28dbed,,0,,,,,0,0,0,0,0,0,0
baseline,calibration,body_ordinary,,True,14041,128,0,2,0,3091.736,,3091.736,3241.008,3241.028,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,c8feed1cc1a0ce652cdc58c53d86909fca2b95f959a9af224897285dbb404308,44b5d5a489a48b157920f2dd624963e0db615e445c6d27cf8a1d18bb8078cd8f,,0,,,,,2,1,1,1,0,0,0
baseline,calibration,body_meta_step_base,,True,13298,128,0,2,0,2859.907,,2859.907,2979.991,2980.013,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,302e068278938f43442de935e031d9bcc525543da36f3d94fd7be04d99ca67fb,7c62b3844d02ac28ecfbd70ba75c871693baa0863001ed3fa283a53b43488036,,0,,,,,2,1,1,1,0,0,0
baseline,calibration,body_meta_step,,True,15615,128,0,32,32,3397.727,3397.727,,4299.403,4299.432,0,True,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,534fe814b9550d33c14c58b2755ea15c984a8f5e2444e5ac79a9c944a5b4a4e0,0a467caac58b83b53ff7fc57f690dce955e9631ef4f92d3579df68e2381e62b0,,0,,,,,0,0,0,0,0,0,0
